Id,OverallCond,MSZoning,LotArea,LandContour,LotConfig,LandSlope,BldgType,HouseStyle,OverallQual,YearBuilt,YearRemodAdd,MasVnrType,MasVnrArea,ExterQual,Foundation,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,CentralAir,1stFlrSF,2ndFlrSF,Bathrooms,KitchenQual,Fireplaces,FireplaceQu,GarageType,GarageCars,GarageArea,WoodDeckSF,ScreenPorch,Pool,YrSold,SaleCondition,SalePrice
356,5,RL,11249,Lvl,Inside,Gtl,1Fam,1Story,6,1995,1995,None,0,Gd,PConc,544,322,1200,Y,1200,0,2,Gd,0,NA,Attchd,2,521,0,0,1,2007,Normal,177500
357,6,RL,9248,Lvl,Inside,Gtl,1Fam,1Story,6,1992,1992,BrkFace,106,TA,PConc,0,598,1158,Y,1167,0,2,Gd,0,NA,Attchd,2,400,120,0,1,2009,Normal,173000
358,5,RM,4224,Lvl,Inside,Gtl,TwnhsE,1Story,5,1976,1976,None,0,TA,PConc,0,268,1142,Y,1142,0,2,TA,1,Po,Attchd,2,528,536,0,1,2007,Normal,134000
359,4,RL,6930,Lvl,Inside,Gtl,1Fam,SLvl,5,1958,1958,BrkFace,120,TA,CBlock,294,468,1062,Y,1352,0,1,Gd,0,NA,BuiltIn,1,288,168,0,1,2006,Other,130000
360,5,RL,12011,Lvl,CulDSac,Gtl,1Fam,2Story,8,1998,1998,BrkFace,530,Gd,PConc,0,130,1086,Y,1086,838,3,Gd,1,TA,Attchd,2,592,208,1,1,2006,Normal,280000
361,6,RL,7540,Lvl,CulDSac,Gtl,1Fam,SFoyer,6,1978,1978,None,0,TA,CBlock,0,115,888,Y,912,0,1,TA,1,TA,Attchd,2,470,0,1,1,2007,Normal,156000
362,5,RL,9144,Lvl,Inside,Gtl,1Fam,1.5Fin,5,1940,1982,None,0,TA,CBlock,0,484,883,Y,988,517,1,TA,0,NA,Detchd,1,240,0,0,1,2008,Normal,145000
363,5,RL,7301,Lvl,Corner,Gtl,1Fam,SFoyer,7,2003,2003,BrkFace,500,Gd,Slab,0,0,0,Y,495,1427,3,Gd,1,Ex,BuiltIn,2,672,0,0,1,2009,Normal,198500
364,8,RM,1680,Lvl,Inside,Gtl,Twnhs,2Story,6,1972,2007,BrkFace,510,TA,CBlock,0,321,483,Y,483,504,2,Gd,0,NA,Detchd,1,264,250,0,1,2009,Normal,118000
365,5,RL,18800,Lvl,FR2,Gtl,1Fam,2Story,6,1976,1976,BrkFace,120,TA,PConc,0,84,796,Y,790,784,3,TA,1,TA,Attchd,2,566,306,0,1,2006,Normal,190000
366,7,RM,10690,Lvl,Inside,Gtl,1Fam,2Story,5,1920,1997,None,0,TA,CBlock,0,216,672,Y,672,672,1,TA,0,NA,Detchd,1,468,0,0,1,2009,Normal,147000
367,5,RL,9500,Lvl,Inside,Gtl,1Fam,1Story,6,1963,1963,BrkFace,247,TA,CBlock,0,785,1394,Y,1394,0,2,TA,2,Gd,Attchd,2,514,0,1,1,2009,Normal,159000
368,5,RL,9150,Lvl,Corner,Gtl,1Fam,SLvl,6,1962,1962,BrkFace,305,TA,CBlock,0,728,1099,Y,1431,0,1,TA,1,Gd,Basment,1,296,64,0,1,2008,Normal,165000
369,6,RL,7800,Lvl,Inside,Gtl,1Fam,1Story,5,1954,1954,BrkFace,200,TA,PConc,0,728,1268,Y,1268,0,1,TA,1,Gd,Attchd,1,244,0,0,1,2010,Normal,132000
370,7,RL,9830,Lvl,Corner,Gtl,1Fam,1Story,5,1959,2006,None,0,TA,CBlock,258,733,1063,Y,1287,0,1,Gd,1,Gd,Detchd,2,576,364,1,1,2010,Normal,162000
371,5,RL,8121,Lvl,Inside,Gtl,1Fam,2Story,6,2000,2000,None,0,TA,PConc,0,953,953,Y,953,711,3,TA,1,TA,Attchd,2,460,100,0,1,2006,Normal,172400
372,4,RL,17120,Lvl,Inside,Gtl,1Fam,1.5Fin,4,1959,1959,None,0,TA,CBlock,0,0,0,Y,1120,468,2,TA,1,Gd,Detchd,2,680,0,0,1,2008,Normal,134432
373,5,RL,7175,Lvl,Inside,Gtl,TwnhsE,1Story,6,1984,1984,None,0,TA,CBlock,121,0,744,Y,752,0,1,TA,0,NA,Attchd,1,264,353,1,1,2010,Normal,125000
374,6,RL,10634,Lvl,Inside,Gtl,1Fam,1Story,5,1953,1953,None,0,TA,PConc,180,0,608,Y,1319,0,1,TA,0,NA,Attchd,1,270,66,0,1,2009,Normal,123000
375,5,RL,8200,Lvl,Inside,Gtl,1Fam,2Story,7,2003,2004,None,0,Gd,PConc,0,847,847,Y,847,1081,3,Gd,1,Gd,BuiltIn,2,434,100,0,1,2007,Normal,219500
376,1,RL,10020,Low,Inside,Sev,1Fam,1Story,1,1922,1950,None,0,Fa,BrkTil,0,333,683,N,904,0,1,Other,0,NA,NA,0,0,0,0,1,2009,Normal,61000
377,5,RL,8846,Lvl,CulDSac,Gtl,1Fam,SFoyer,5,1996,1996,None,0,Gd,PConc,0,572,870,Y,914,0,1,TA,0,NA,Detchd,2,576,0,0,1,2006,Normal,148000
378,5,FV,11143,Lvl,Corner,Gtl,1Fam,2Story,8,2004,2005,None,0,Gd,PConc,0,1580,1580,Y,1580,886,3,Gd,1,Gd,Attchd,2,610,159,0,1,2007,Normal,340000
379,2,RL,11394,Lvl,Corner,Gtl,1Fam,1Story,9,2010,2010,Stone,350,Gd,PConc,0,411,1856,Y,1856,0,2,Other,1,Ex,Attchd,3,834,113,0,1,2010,Other,394432
380,5,RL,8123,Lvl,Inside,Gtl,1Fam,2Story,6,2000,2000,BrkFace,16,TA,PConc,0,982,982,Y,1007,793,3,TA,1,TA,Attchd,2,463,100,0,1,2009,Normal,179000
381,6,RL,5000,Lvl,Inside,Gtl,1Fam,1.5Fin,5,1924,1950,None,0,TA,BrkTil,0,808,1026,Y,1026,665,2,Gd,1,Gd,Detchd,1,308,0,0,1,2010,Normal,127000
382,5,FV,7200,Lvl,Inside,Gtl,1Fam,1Story,7,2006,2006,None,0,Gd,PConc,0,1293,1293,Y,1301,0,2,Gd,1,Gd,Attchd,2,572,216,0,1,2006,Other,187750
383,5,RL,9245,Lvl,Inside,Gtl,1Fam,2Story,7,2006,2006,None,0,Gd,PConc,0,939,939,Y,939,858,3,Gd,0,NA,Attchd,2,639,144,0,1,2007,Normal,213500
384,3,RH,9000,Lvl,Corner,Gtl,1Fam,1.5Unf,6,1928,1950,None,0,TA,BrkTil,0,784,784,N,784,0,1,TA,0,NA,Detchd,2,360,0,0,1,2009,Normal,76000
385,5,RL,53107,Low,Corner,Mod,1Fam,2Story,6,1992,1992,None,0,Gd,PConc,0,595,1580,Y,1079,874,3,Gd,2,Fa,Attchd,2,501,216,0,1,2007,Normal,240000
386,5,RL,3182,Lvl,Inside,Gtl,TwnhsE,1Story,8,2004,2005,BrkFace,16,Gd,PConc,0,1232,1256,Y,1269,0,2,Gd,1,TA,Attchd,2,430,146,1,1,2010,Normal,192000
387,3,RL,8410,Lvl,FR2,Gtl,1Fam,1.5Fin,5,1910,1996,None,0,TA,PConc,0,658,658,Y,658,526,1,TA,0,NA,NA,0,0,0,0,1,2006,Other,81000
388,6,RL,7200,Lvl,Inside,Gtl,1Fam,SLvl,6,1976,1976,BrkFace,255,TA,CBlock,0,410,1041,Y,1125,0,1,TA,1,Fa,Detchd,1,352,296,0,1,2009,Other,125000
389,5,RL,9382,Lvl,CulDSac,Gtl,1Fam,1Story,7,1999,2000,BrkFace,125,Gd,PConc,0,1468,1468,Y,1479,0,2,Gd,0,NA,Attchd,2,577,120,0,1,2008,Normal,191000
390,5,RL,12474,Lvl,Inside,Gtl,1Fam,2Story,10,2007,2008,Stone,272,Ex,PConc,0,402,1682,Y,1742,590,3,Other,1,Ex,BuiltIn,3,846,196,0,1,2008,Other,426000
391,8,RL,8405,Lvl,Inside,Gtl,1Fam,1.5Fin,5,1900,1950,None,0,TA,BrkTil,391,229,861,Y,961,406,1,TA,0,NA,Detchd,1,384,0,0,1,2008,Normal,119000
392,5,RL,12209,Lvl,CulDSac,Gtl,1Fam,2Story,6,2001,2002,None,0,TA,PConc,0,114,804,Y,804,1157,3,Gd,1,TA,BuiltIn,2,560,125,0,1,2009,Normal,215000
393,7,RL,8339,Lvl,Inside,Gtl,1Fam,1Story,5,1959,1959,None,0,TA,Slab,0,0,0,Y,882,0,1,TA,0,NA,Attchd,1,294,0,0,1,2007,Normal,106500
394,5,RL,7446,Lvl,Corner,Gtl,1Fam,1Story,4,1941,1950,None,0,TA,CBlock,0,522,788,Y,788,0,1,TA,2,TA,NA,0,0,0,0,1,2006,Other,100000
395,6,RL,10134,Lvl,Inside,Gtl,1Fam,1.5Fin,5,1940,1950,None,0,TA,CBlock,0,735,735,Y,735,299,1,TA,0,NA,Detchd,1,240,0,0,1,2007,Normal,109000
396,6,RL,9571,Lvl,Inside,Gtl,1Fam,1Story,5,1956,1956,None,0,TA,CBlock,0,405,1144,Y,1144,0,1,TA,0,NA,Attchd,1,596,44,0,1,2010,Normal,129000
397,5,RL,7200,Low,Inside,Gtl,1Fam,1Story,5,1972,1972,None,0,TA,CBlock,0,117,894,Y,894,0,1,TA,0,NA,Detchd,2,600,215,0,1,2009,Normal,123000
398,5,RL,7590,Lvl,Inside,Gtl,1Fam,2Story,5,1962,1962,BrkFace,288,TA,CBlock,0,324,864,Y,876,936,2,TA,1,TA,Attchd,1,264,0,0,1,2007,Normal,169500
399,2,RM,8967,Lvl,Corner,Gtl,1Fam,1Story,5,1920,1950,None,0,TA,BrkTil,0,961,961,Y,1077,0,1,TA,0,NA,Detchd,1,338,0,0,1,2007,Other,67000
400,5,FV,8125,Lvl,Inside,Gtl,1Fam,2Story,7,2006,2007,Stone,100,Gd,PConc,0,280,1092,Y,1112,438,2,Gd,0,NA,Attchd,2,438,0,0,1,2009,Normal,241000
401,5,RL,14963,Lvl,Inside,Gtl,TwnhsE,1Story,8,1996,1996,None,0,Gd,PConc,0,474,1260,Y,1288,0,2,Other,2,Gd,Attchd,2,500,120,1,1,2008,Normal,245500
402,5,RL,8767,Lvl,Inside,Gtl,1Fam,1Story,7,2005,2005,None,0,Gd,PConc,0,1286,1310,Y,1310,0,2,Gd,1,Gd,Attchd,2,400,0,0,1,2006,Other,164990
403,8,RL,10200,Lvl,Inside,Gtl,1Fam,1Story,5,1940,1997,None,0,TA,PConc,0,672,672,Y,672,0,1,TA,0,NA,Detchd,1,240,168,0,1,2008,Normal,108000
404,5,RL,12090,Lvl,Corner,Gtl,1Fam,2Story,8,1998,1998,BrkFace,650,Gd,PConc,0,1141,1141,Y,1165,1098,3,Gd,1,TA,BuiltIn,2,420,144,0,1,2006,Other,258000
405,5,RL,10364,Lvl,Inside,Gtl,1Fam,2Story,6,1995,1996,None,0,TA,PConc,0,806,806,Y,806,766,3,TA,1,TA,BuiltIn,2,373,0,0,1,2007,Normal,168000
406,4,RL,9991,Lvl,Corner,Gtl,1Fam,1Story,4,1976,1993,None,0,TA,CBlock,0,165,1281,Y,1620,0,2,TA,1,TA,Attchd,2,490,120,0,1,2009,Normal,150000
407,5,RL,10480,Lvl,Inside,Gtl,1Fam,1.5Fin,6,1936,1950,None,0,TA,BrkTil,0,1064,1064,Y,1166,0,1,TA,0,NA,Detchd,1,240,0,0,1,2008,Normal,115000
408,7,RL,15576,Lvl,Inside,Gtl,1Fam,2Story,6,1915,1976,None,0,TA,BrkTil,0,840,840,Y,840,840,2,TA,0,NA,Attchd,1,308,0,0,1,2008,Normal,177000
409,5,RL,14154,Lvl,Corner,Gtl,1Fam,2Story,7,2006,2006,BrkFace,350,Gd,PConc,0,1063,1063,Y,1071,1101,3,Gd,1,Gd,Attchd,3,947,192,0,1,2007,Other,280000
410,5,FV,10800,Lvl,Inside,Gtl,1Fam,2Story,8,2007,2008,Stone,100,Gd,PConc,0,245,1034,Y,1050,1028,3,Other,1,Gd,Attchd,3,836,0,0,1,2008,Other,339750
411,3,RL,9571,Lvl,Inside,Gtl,1Fam,1Story,5,1958,1958,None,0,TA,CBlock,0,1276,1276,Y,1276,0,1,TA,0,NA,Attchd,1,350,0,0,1,2009,Other,60000
412,5,RL,34650,Bnk,Inside,Gtl,2fmCon,1Story,5,1955,1955,None,0,TA,CBlock,0,0,1056,N,1056,0,1,TA,0,NA,Attchd,2,572,264,0,1,2006,Normal,145000
413,5,FV,4403,Lvl,Inside,Gtl,1Fam,1Story,7,2009,2009,Stone,432,Ex,PConc,0,892,1470,Y,1478,0,3,Gd,1,Gd,Attchd,2,484,0,0,1,2010,Other,222000
414,6,RM,8960,Lvl,Inside,Gtl,1Fam,1Story,5,1927,1950,None,0,TA,CBlock,0,1008,1008,Y,1028,0,1,TA,1,Gd,Detchd,2,360,0,0,1,2010,Normal,115000
415,5,RL,11228,Lvl,CulDSac,Gtl,1Fam,2Story,7,1993,1993,None,0,Gd,PConc,531,499,1080,Y,1080,1017,3,Gd,1,TA,Attchd,3,678,196,0,1,2008,Normal,228000
416,5,RL,8899,Lvl,Inside,Gtl,1Fam,1Story,7,2007,2007,None,0,Gd,PConc,0,1316,1340,Y,1340,0,2,Gd,0,NA,Attchd,2,396,100,0,1,2007,Other,181134
417,7,RL,7844,Lvl,Inside,Gtl,1Fam,2Story,6,1978,1978,BrkFace,203,TA,CBlock,0,463,672,Y,672,728,2,TA,1,TA,Attchd,2,440,0,0,1,2006,Normal,149500
418,6,RL,22420,Lvl,Inside,Gtl,1Fam,2Story,6,1918,1950,None,0,TA,BrkTil,0,242,1370,N,1370,1254,3,TA,1,Gd,Detchd,3,864,0,0,1,2007,Normal,239000
419,6,RL,8160,Lvl,Inside,Gtl,1Fam,1.5Fin,5,1940,1950,None,0,TA,BrkTil,0,444,756,N,756,378,2,TA,0,NA,Detchd,1,240,0,0,1,2007,Other,126000
420,6,RL,8450,Lvl,Inside,Gtl,1Fam,1Story,5,1968,1968,None,0,TA,CBlock,0,281,1056,Y,1056,0,1,TA,1,Fa,Attchd,1,304,0,0,1,2010,Normal,142000
421,5,RM,7060,Lvl,Inside,Gtl,Duplex,SFoyer,7,1997,1998,BrkFace,200,TA,PConc,0,35,1344,Y,1344,0,2,TA,0,NA,Attchd,4,784,0,0,1,2008,Other,206300
422,7,RL,16635,Lvl,FR2,Gtl,1Fam,1Story,6,1977,2000,Stone,126,Gd,CBlock,0,356,1602,Y,1602,0,2,Gd,1,TA,Attchd,2,529,240,0,1,2009,Normal,215000
423,5,RL,21750,HLS,Inside,Mod,1Fam,1Story,5,1954,1954,None,0,TA,CBlock,0,988,988,Y,988,0,1,TA,0,NA,Attchd,2,520,0,0,1,2008,Normal,113000
424,5,RL,9200,Lvl,Inside,Gtl,1Fam,2Story,8,1998,1998,BrkFace,473,Gd,PConc,0,484,1470,Y,1470,1160,3,Gd,1,TA,Attchd,3,696,0,0,1,2008,Normal,315000
425,5,RL,9000,Lvl,Inside,Gtl,1Fam,1Story,6,1956,1956,BrkFace,74,TA,CBlock,0,580,1196,Y,1196,0,1,TA,1,Gd,Attchd,1,297,0,0,1,2008,Normal,139000
426,8,RM,3378,HLS,Inside,Gtl,1Fam,2Story,7,1946,1992,None,0,TA,CBlock,0,651,651,Y,707,682,2,TA,2,Gd,Detchd,1,240,0,0,1,2009,Normal,135000
427,5,RL,12800,Low,Inside,Mod,1Fam,SLvl,7,1989,1989,BrkFace,145,Gd,PConc,0,0,1518,Y,1644,0,2,Gd,1,TA,Attchd,2,569,80,1,1,2009,Normal,275000
428,6,RL,8593,Lvl,Inside,Gtl,1Fam,1Story,4,1957,1957,None,0,TA,CBlock,0,619,907,Y,907,0,1,TA,0,NA,Detchd,1,352,0,0,1,2008,Normal,109008
429,5,RL,6762,Lvl,Inside,Gtl,1Fam,1Story,7,2007,2007,BrkFace,108,Gd,PConc,0,544,1208,Y,1208,0,2,Gd,0,NA,Attchd,2,628,105,0,1,2007,Other,195400
430,5,RL,11457,Lvl,Corner,Gtl,1Fam,1Story,6,1988,1988,None,0,TA,CBlock,0,387,1392,Y,1412,0,2,Gd,1,TA,Attchd,2,576,0,0,1,2009,Normal,175000
431,5,RM,1680,Lvl,Inside,Gtl,Twnhs,2Story,6,1971,1971,BrkFace,232,TA,CBlock,0,96,483,Y,483,504,2,TA,0,NA,Detchd,1,264,0,0,1,2008,Other,85400
432,7,RM,5586,Bnk,Inside,Gtl,1Fam,1.5Fin,6,1920,1998,None,0,TA,BrkTil,0,901,901,Y,1088,110,1,TA,0,NA,NA,0,0,0,0,1,2008,Other,79900
433,5,RM,1920,Lvl,Inside,Gtl,TwnhsE,2Story,5,1971,1971,BrkFace,376,TA,CBlock,0,294,765,Y,765,600,2,TA,0,NA,Detchd,2,440,240,0,1,2007,Normal,122500
434,5,RL,10839,Lvl,Corner,Gtl,1Fam,2Story,6,1997,1998,None,0,TA,PConc,0,926,926,Y,926,678,3,TA,1,TA,Attchd,2,470,0,0,1,2008,Normal,181000
435,7,RM,1890,Lvl,Inside,Gtl,Twnhs,SFoyer,4,1972,1972,None,0,TA,CBlock,0,135,630,Y,630,0,1,TA,0,NA,NA,0,0,88,0,1,2008,Normal,81000
436,6,RL,10667,Lvl,CulDSac,Gtl,1Fam,2Story,7,1996,1996,None,0,Gd,PConc,344,70,799,Y,827,834,3,Gd,1,TA,Attchd,2,550,158,0,1,2009,Normal,212000
437,8,RM,4400,Lvl,Inside,Gtl,1Fam,1.5Fin,6,1920,1950,None,0,TA,BrkTil,0,648,648,Y,734,384,1,TA,0,NA,Detchd,2,440,0,0,1,2006,Normal,116000
438,7,RM,6000,Lvl,Inside,Gtl,1Fam,1.5Unf,6,1926,2004,None,0,Gd,PConc,0,884,884,Y,904,0,1,TA,0,NA,Detchd,1,180,0,0,1,2009,Normal,119000
439,6,RL,4280,Lvl,Inside,Gtl,1Fam,1Story,5,1913,2002,None,0,TA,PConc,0,75,440,N,694,0,1,Gd,1,Gd,Detchd,1,352,0,0,1,2007,Normal,90350
440,8,RL,12354,Lvl,Corner,Gtl,1Fam,1.5Fin,6,1920,2000,None,0,TA,BrkTil,0,684,684,Y,684,512,1,Gd,0,NA,Detchd,2,528,0,0,1,2009,Normal,110000
441,5,RL,15431,Lvl,Inside,Gtl,1Fam,1Story,10,2008,2008,Stone,200,Ex,PConc,539,788,3094,Y,2402,0,2,Other,2,Gd,Attchd,3,672,0,1,1,2009,Normal,555000
442,4,RL,12108,Lvl,Inside,Gtl,Duplex,1Story,4,1955,1955,BrkFace,270,TA,CBlock,0,1307,1440,N,1440,0,2,Other,0,NA,NA,0,0,0,0,1,2008,Normal,118000
443,7,RM,6240,Lvl,Inside,Gtl,1Fam,1.5Fin,5,1930,1992,None,0,TA,PConc,0,1078,1078,Y,1128,445,2,TA,1,Gd,Detchd,2,360,0,0,1,2008,Normal,162900
444,5,RL,3922,Lvl,Inside,Gtl,TwnhsE,1Story,7,2006,2007,BrkFace,72,Gd,PConc,0,1258,1258,Y,1258,0,2,Gd,1,Gd,Attchd,3,648,144,0,1,2007,Other,172500
445,5,RL,8750,Lvl,Inside,Gtl,1Fam,2Story,7,1994,1995,None,0,Gd,PConc,0,273,915,Y,933,975,3,Gd,1,TA,Attchd,2,493,144,0,1,2008,Normal,210000
446,5,RL,9855,Lvl,Corner,Gtl,1Fam,1Story,6,1956,1956,None,0,TA,CBlock,0,1436,1436,Y,1689,0,1,TA,1,Gd,Attchd,2,480,0,0,1,2009,Normal,127500
447,6,RL,16492,Lvl,Corner,Gtl,1Fam,1Story,6,1966,2002,None,0,Gd,CBlock,713,557,1517,Y,1888,0,3,Gd,1,Gd,Attchd,2,578,0,0,1,2010,Normal,190000
448,5,RL,11214,Lvl,Corner,Gtl,1Fam,2Story,7,1998,1999,None,0,Gd,PConc,0,930,930,Y,956,930,3,Gd,1,TA,Attchd,2,431,89,0,1,2006,Normal,199900
449,6,RM,8600,Bnk,Inside,Gtl,1Fam,1.5Fin,6,1937,1950,None,0,TA,BrkTil,0,780,780,Y,780,596,2,TA,1,Gd,Detchd,1,198,0,0,1,2006,Normal,119500
450,7,RM,6000,Lvl,Inside,Gtl,1Fam,1.5Fin,3,1948,2002,None,0,TA,CBlock,0,318,649,Y,679,504,2,TA,0,NA,Detchd,1,308,0,0,1,2007,Normal,120000
451,8,RM,5684,Lvl,Inside,Gtl,1Fam,1Story,6,1930,2005,None,0,TA,BrkTil,0,813,813,Y,813,0,1,Gd,0,NA,Detchd,1,270,0,0,1,2006,Normal,110000
452,5,RL,70761,Low,Inside,Mod,1Fam,1Story,7,1975,1975,None,0,TA,CBlock,0,878,1533,Y,1533,0,2,Gd,2,TA,Attchd,2,576,200,0,1,2006,Normal,280000
453,5,RL,9303,Lvl,Corner,Gtl,1Fam,2Story,6,1996,1997,BrkFace,42,Gd,PConc,0,130,872,Y,888,868,3,TA,0,NA,Attchd,2,422,144,0,1,2007,Normal,204000
454,5,FV,9000,Lvl,Inside,Gtl,1Fam,2Story,8,2008,2008,None,0,Gd,PConc,0,768,768,Y,786,804,3,Gd,0,NA,Attchd,2,676,0,0,1,2009,Normal,210000
455,5,RL,9297,Lvl,Inside,Gtl,Duplex,1Story,5,1976,1976,None,0,TA,CBlock,0,122,1728,Y,1728,0,2,TA,0,NA,Detchd,2,560,0,0,1,2006,Other,188000
456,6,RL,9600,Lvl,Inside,Gtl,1Fam,1Story,7,1973,1973,BrkFace,320,TA,CBlock,0,326,1242,Y,1242,0,2,TA,1,TA,Attchd,2,528,0,0,1,2007,Normal,175500
457,5,RM,4571,Lvl,Inside,Gtl,1Fam,2Story,5,1916,1950,None,0,TA,BrkTil,0,624,624,N,624,720,1,TA,0,NA,Detchd,3,513,0,0,1,2008,Other,98000
458,6,RL,53227,Low,CulDSac,Mod,1Fam,1Story,4,1954,1994,None,0,TA,CBlock,0,248,1364,Y,1663,0,1,Gd,2,Gd,Attchd,2,529,224,0,1,2008,Normal,256000
459,7,RM,5100,Lvl,Inside,Gtl,1Fam,2Story,8,1925,1996,None,0,TA,PConc,0,588,588,Y,833,833,1,Gd,1,Gd,Detchd,1,228,192,0,1,2008,Normal,161000
460,4,RL,7015,Bnk,Corner,Gtl,1Fam,1.5Fin,5,1950,1950,BrkCmn,161,TA,CBlock,0,524,709,Y,979,224,1,Gd,1,TA,Detchd,1,352,0,0,1,2009,Normal,110000
461,5,FV,8004,Lvl,Inside,Gtl,1Fam,2Story,8,2009,2009,Stone,110,Gd,PConc,0,288,832,Y,832,1103,3,TA,0,NA,BuiltIn,2,552,0,0,1,2009,Other,263435
462,9,RL,7200,Lvl,Inside,Gtl,1Fam,2Story,7,1936,2007,None,0,Gd,PConc,210,0,560,Y,575,560,1,Gd,0,NA,Detchd,2,576,256,0,1,2009,Normal,155000
463,5,RL,8281,Lvl,Inside,Gtl,1Fam,1Story,5,1965,1965,None,0,TA,CBlock,311,0,864,Y,864,0,1,TA,1,Po,Detchd,1,360,0,0,1,2009,Normal,62383
464,7,RL,11988,HLS,Inside,Mod,1Fam,2Story,6,1934,1995,None,0,TA,CBlock,0,389,715,Y,849,811,2,TA,1,Gd,Detchd,1,240,0,0,1,2008,Normal,188700
465,5,RL,8430,HLS,Inside,Mod,1Fam,1Story,5,1978,1978,BrkFace,136,TA,CBlock,0,424,1040,Y,1040,0,2,TA,0,NA,NA,0,0,0,0,1,2009,Normal,124000
466,5,RM,3072,Lvl,Inside,Gtl,TwnhsE,1Story,7,2004,2004,BrkFace,18,Gd,PConc,0,1375,1375,Y,1414,0,2,Gd,1,TA,Attchd,2,398,144,0,1,2006,Normal,178740
467,5,RL,10628,Lvl,Inside,Gtl,1Fam,1Story,7,1970,1970,None,0,TA,CBlock,0,499,1277,Y,1277,0,1,TA,1,Po,Attchd,2,526,0,1,1,2007,Normal,167000
468,7,RL,9480,Lvl,Inside,Gtl,1Fam,2Story,5,1942,1995,Stone,224,TA,CBlock,0,342,728,Y,888,756,2,Gd,2,Gd,Attchd,1,312,168,0,1,2007,Normal,146500
469,5,RL,11428,Lvl,Inside,Gtl,1Fam,1Story,8,2006,2006,Stone,248,Gd,PConc,0,1626,1626,Y,1634,0,2,Gd,1,Gd,Attchd,3,866,0,0,1,2007,Normal,250000
470,5,RL,9291,Lvl,Corner,Gtl,1Fam,2Story,6,1993,1993,BrkFace,120,Gd,PConc,0,406,832,Y,832,878,3,Gd,0,NA,Attchd,2,506,144,0,1,2008,Normal,187000
471,5,RL,6820,Lvl,Corner,Gtl,TwnhsE,1Story,8,1985,1985,None,0,Gd,PConc,1120,0,1488,Y,1502,0,2,Gd,0,NA,Attchd,2,528,0,1,1,2010,Normal,212000
472,6,RL,11952,Lvl,Inside,Gtl,1Fam,2Story,7,1977,1977,None,0,TA,CBlock,0,808,808,Y,1161,808,3,TA,1,Gd,Attchd,2,534,0,1,1,2007,Normal,190000
473,5,RM,3675,Lvl,Inside,Gtl,TwnhsE,SLvl,6,2005,2005,BrkFace,80,TA,PConc,0,88,547,Y,1072,0,1,TA,0,NA,Basment,2,525,0,0,1,2008,Normal,148000
474,5,RL,14977,Lvl,Inside,Gtl,1Fam,1Story,8,2006,2007,BrkFace,304,Gd,PConc,0,626,1976,Y,1976,0,2,Gd,1,Ex,Attchd,3,908,250,0,1,2007,Other,440000
475,5,RL,5330,Lvl,Inside,Gtl,TwnhsE,1Story,8,2000,2000,None,0,Gd,PConc,0,298,1494,Y,1652,0,2,Other,0,NA,Attchd,2,499,96,0,1,2007,Normal,251000
476,6,RL,8480,Lvl,Corner,Gtl,1Fam,1Story,5,1963,1963,None,0,TA,CBlock,0,340,970,Y,970,0,1,TA,0,NA,Detchd,2,624,0,1,1,2007,Normal,132500
477,5,RL,13125,Lvl,Inside,Mod,1Fam,1Story,6,1997,1998,BrkFace,215,TA,PConc,0,484,1478,Y,1493,0,2,Gd,1,TA,Attchd,2,508,140,0,1,2008,Normal,208900
478,5,RL,13693,Lvl,Inside,Gtl,1Fam,2Story,9,2006,2006,BrkFace,772,Ex,PConc,0,2153,2153,Y,2069,574,3,Other,1,Gd,BuiltIn,3,694,414,0,1,2007,Normal,380000
479,5,RL,10637,Lvl,Inside,Gtl,1Fam,1Story,8,2007,2008,Stone,336,Gd,PConc,0,417,1705,Y,1718,0,2,Gd,1,Gd,Attchd,3,826,208,0,1,2009,Normal,297000
480,7,RM,5925,Bnk,Inside,Gtl,1Fam,1Story,4,1937,2000,BrkCmn,435,TA,BrkTil,0,739,907,Y,1131,0,1,TA,0,NA,Detchd,2,672,0,0,1,2007,Other,89471
481,5,RL,16033,Lvl,FR2,Gtl,1Fam,1Story,9,2004,2005,BrkFace,378,Gd,PConc,0,572,1833,Y,1850,0,2,Gd,1,Gd,Attchd,3,772,519,0,1,2006,Normal,326000
482,5,RL,11846,HLS,Inside,Gtl,1Fam,1Story,9,2003,2004,BrkFace,562,Gd,PConc,0,225,1792,Y,1792,0,2,Other,1,Gd,Attchd,3,874,206,0,1,2006,Normal,374000
483,8,RM,2500,Lvl,Corner,Gtl,1Fam,2Story,7,1915,2005,None,0,Gd,PConc,0,611,910,Y,916,910,2,Other,1,Gd,Attchd,1,164,0,0,1,2009,Normal,155000
484,5,RM,4500,Lvl,FR2,Gtl,Twnhs,1Story,6,1998,1998,BrkFace,116,TA,PConc,0,319,1216,Y,1216,0,2,TA,0,NA,Attchd,2,402,0,0,1,2006,Normal,164000
485,7,RL,7758,Lvl,Corner,Gtl,1Fam,1Story,5,1962,2001,None,0,TA,CBlock,0,411,999,Y,999,0,1,Gd,0,NA,Detchd,1,264,0,0,1,2007,Normal,132500
486,7,RL,9600,Lvl,Inside,Gtl,1Fam,1Story,5,1950,2007,None,0,Gd,CBlock,0,506,1113,Y,1113,0,1,Gd,1,Gd,Attchd,1,264,0,0,1,2009,Normal,147000
